Teams	1	2	T	Field Goal %	Three Point %	Free Throw %	Rebounds	Offensive Rebounds	Defensive Rebounds	Assists	Steals	Blocks	Total Turnovers	Fouls	Technical Fouls	Flagrant Fouls	Largest Lead	Line	Favored Team	Spread	Teams Alt	OT
TNTC	-11.0	-21.0	-32.0	-7.5	-2.400000000000002	-36.8	-9.0	-10.0	1.0	-16.0	-9.0	-4.0	7.0	-1.0	0.0	0.0	-32.0	Line: TENN -35.5	TENN	35.5	Tennessee Tech Golden Eagles	
TENN	11.0	21.0	32.0	7.5	2.400000000000002	36.8	9.0	10.0	-1.0	16.0	9.0	4.0	-7.0	1.0	0.0	0.0	32.0	Line: TENN -35.5	TENN	-35.5	Tennessee Volunteers	
UTEP	-13.0	-2.0	-15.0	-14.399999999999999	4.699999999999996	-9.200000000000003	5.0	7.0	-2.0	-6.0	-1.0	0.0	4.0	10.0	0.0	0.0	-18.0	Line: TEX -21.5	TEX	21.5	UTEP Miners	
TEX	13.0	2.0	15.0	14.399999999999999	-4.699999999999996	9.200000000000003	-5.0	-7.0	2.0	6.0	1.0	0.0	-4.0	-10.0	0.0	0.0	18.0	Line: TEX -21.5	TEX	-21.5	Texas Longhorns	
MORE	-12.0	-23.0	-35.0	-24.0	-6.399999999999999	22.9	-5.0	1.0	-6.0	-8.0	-5.0	-3.0	11.0	7.0	1.0	0.0	-36.0	Line: IU -24.5	IU	24.5	Morehead State Eagles	
IU	12.0	23.0	35.0	24.0	6.399999999999999	-22.9	5.0	-1.0	6.0	8.0	5.0	3.0	-11.0	-7.0	-1.0	0.0	36.0	Line: IU -24.5	IU	-24.5	Indiana Hoosiers	
UAPB	11.0	-12.0	-1.0	2.3999999999999986	25.799999999999997	-1.0999999999999943	-4.0	-4.0	0.0	9.0	-1.0	3.0	2.0	11.0	1.0	0.0	15.0	Line: TCU -35.0	TCU	35.0	Arkansas-Pine Bluff Golden Lions	
TCU	-11.0	12.0	1.0	-2.3999999999999986	-25.799999999999997	1.0999999999999943	4.0	4.0	0.0	-9.0	1.0	-3.0	-2.0	-11.0	-1.0	0.0	-15.0	Line: TCU -35.0	TCU	-35.0	TCU Horned Frogs	
GMU	-7.0	-11.0	-18.0	3.700000000000003	19.0	-24.6	-11.0	-12.0	1.0	-3.0	-11.0	-6.0	10.0	7.0	0.0	0.0	-20.0	Line: AUB -10.0	AUB	10.0	George Mason Patriots	
AUB	7.0	11.0	18.0	-3.700000000000003	-19.0	24.6	11.0	12.0	-1.0	3.0	11.0	6.0	-10.0	-7.0	0.0	0.0	20.0	Line: AUB -10.0	AUB	-10.0	Auburn Tigers	
LAS	-14.0	1.0	-13.0	-15.799999999999997	-25.0	-20.900000000000006	-1.0	5.0	-6.0	-2.0	2.0	-4.0	0.0	-3.0	0.0	0.0	-21.0	Line: VILL -15.0	VILL	15.0	La Salle Explorers	
VILL	14.0	-1.0	13.0	15.799999999999997	25.0	20.900000000000006	1.0	-5.0	6.0	2.0	-2.0	4.0	0.0	3.0	0.0	0.0	21.0	Line: VILL -15.0	VILL	-15.0	Villanova Wildcats	
NICH	-22.0	-20.0	-42.0	-31.400000000000006	-22.200000000000003	-29.5	-19.0	4.0	-23.0	-19.0	10.0	-4.0	-8.0	7.0	0.0	0.0	-44.0	Line: ARIZ -24.5	ARIZ	24.5	Nicholls Colonels	
ARIZ	22.0	20.0	42.0	31.400000000000006	22.200000000000003	29.5	19.0	-4.0	23.0	19.0	-10.0	4.0	8.0	-7.0	0.0	0.0	44.0	Line: ARIZ -24.5	ARIZ	-24.5	Arizona Wildcats	
NCCU	-8.0	-4.0	-12.0	-1.1000000000000014	-1.8999999999999986	-9.0	-10.0	-2.0	-8.0	-8.0	2.0	0.0	0.0	13.0	0.0	0.0	-14.0	Line: UVA -24.0	UVA	24.0	North Carolina Central Eagles	
UVA	8.0	4.0	12.0	1.1000000000000014	1.8999999999999986	9.0	10.0	2.0	8.0	8.0	-2.0	0.0	0.0	-13.0	0.0	0.0	14.0	Line: UVA -24.0	UVA	-24.0	Virginia Cavaliers	
CSUF	-7.0	-16.0	-23.0	-14.599999999999994	-26.2	6.900000000000006	1.0	3.0	-2.0	-12.0	-6.0	2.0	6.0	4.0	0.0	0.0	-28.0	Line: SDSU -23.0	SDSU	23.0	Cal State Fullerton Titans	
SDSU	7.0	16.0	23.0	14.599999999999994	26.2	-6.900000000000006	-1.0	-3.0	2.0	12.0	6.0	-2.0	-6.0	-4.0	0.0	0.0	28.0	Line: SDSU -23.0	SDSU	-23.0	San Diego State Aztecs	
LONG	-8.0	-13.0	-21.0	-12.3	27.8	-11.300000000000004	-29.0	-10.0	-19.0	-2.0	2.0	-6.0	-9.0	4.0	0.0	0.0	-24.0	Line: ALA -14.5	ALA	14.5	Longwood Lancers	
ALA	8.0	13.0	21.0	12.3	-27.8	11.300000000000004	29.0	10.0	19.0	2.0	-2.0	6.0	9.0	-4.0	0.0	0.0	24.0	Line: ALA -14.5	ALA	-14.5	Alabama Crimson Tide	
FAMU	-11.0	-24.0	-35.0	-8.5	-7.300000000000001	17.9	-18.0	-13.0	-5.0	-10.0	-8.0	-5.0	11.0	10.0	1.0	0.0	-35.0	Line: ORE -30.5	ORE	30.5	Florida A&M Rattlers	
ORE	11.0	24.0	35.0	8.5	7.300000000000001	-17.9	18.0	13.0	5.0	10.0	8.0	5.0	-11.0	-10.0	-1.0	0.0	35.0	Line: ORE -30.5	ORE	-30.5	Oregon Ducks	
PFW	-12.0	-7.0	-19.0	-17.299999999999997	-7.300000000000001	4.700000000000003	6.0	11.0	-5.0	-6.0	-5.0	-6.0	6.0	2.0	0.0	0.0	-20.0	Line: MICH -15.5	MICH	15.5	Purdue Fort Wayne Mastodons	
MICH	12.0	7.0	19.0	17.299999999999997	7.300000000000001	-4.700000000000003	-6.0	-11.0	5.0	6.0	5.0	6.0	-6.0	-2.0	0.0	0.0	20.0	Line: MICH -15.5	MICH	-15.5	Michigan Wolverines	
EIU	-15.0	-15.0	-30.0	-11.899999999999999	-14.600000000000001	5.5	-23.0	-10.0	-13.0	-7.0	2.0	-7.0	3.0	9.0	0.0	0.0	-33.0	Line: ILL -32.0	ILL	32.0	Eastern Illinois Panthers	
ILL	15.0	15.0	30.0	11.899999999999999	14.600000000000001	-5.5	23.0	10.0	13.0	7.0	-2.0	7.0	-3.0	-9.0	0.0	0.0	33.0	Line: ILL -32.0	ILL	-32.0	Illinois Fighting Illini	
LIN	-14.0	-13.0	-27.0	-14.399999999999999	-6.300000000000001	-23.800000000000004	-11.0	-1.0	-10.0	-12.0	0.0	-5.0	2.0	6.0	0.0	0.0	-34.0	Line: DAY -31.5	DAY	31.5	Lindenwood Lions	
DAY	14.0	13.0	27.0	14.399999999999999	6.300000000000001	23.800000000000004	11.0	1.0	10.0	12.0	0.0	5.0	-2.0	-6.0	0.0	0.0	34.0	Line: DAY -31.5	DAY	-31.5	Dayton Flyers	
NWST	-19.0	-5.0	-24.0	-23.800000000000004	-11.099999999999998	18.200000000000003	-12.0	5.0	-17.0	-8.0	9.0	-3.0	-6.0	8.0	0.0	0.0	-24.0	Line: TTU -28.0	TTU	28.0	Northwestern State Demons	
TTU	19.0	5.0	24.0	23.800000000000004	11.099999999999998	-18.200000000000003	12.0	-5.0	17.0	8.0	-9.0	3.0	6.0	-8.0	0.0	0.0	24.0	Line: TTU -28.0	TTU	-28.0	Texas Tech Red Raiders	
PAC	-12.0	2.0	-10.0	-18.6	0.30000000000000426	13.899999999999991	-5.0	3.0	-8.0	-7.0	2.0	-1.0	-4.0	9.0	0.0	0.0	-19.0	Line: STAN -14.5	STAN	14.5	Pacific Tigers	
STAN	12.0	-2.0	10.0	18.6	-0.30000000000000426	-13.899999999999991	5.0	-3.0	8.0	7.0	-2.0	1.0	4.0	-9.0	0.0	0.0	19.0	Line: STAN -14.5	STAN	-14.5	Stanford Cardinal	
COPP	-13.0	-10.0	-23.0	-9.299999999999997	-20.9	-2.1000000000000085	-10.0	-5.0	-5.0	-8.0	-2.0	-3.0	1.0	3.0	0.0	0.0	-21.0	Line: CHAR -10.5	CHAR	10.5	Coppin State Eagles	
CHAR	13.0	10.0	23.0	9.299999999999997	20.9	2.1000000000000085	10.0	5.0	5.0	8.0	2.0	3.0	-1.0	-3.0	0.0	0.0	21.0	Line: CHAR -10.5	CHAR	-10.5	Charlotte 49ers	
UNO	-25.0	-11.0	-36.0	-15.099999999999994	20.8	0.6000000000000014	-5.0	-3.0	-2.0	-5.0	-6.0	-2.0	15.0	8.0	0.0	0.0	-33.0	Line: BUT -18.5	BUT	18.5	New Orleans Privateers	
BUT	25.0	11.0	36.0	15.099999999999994	-20.8	-0.6000000000000014	5.0	3.0	2.0	5.0	6.0	2.0	-15.0	-8.0	0.0	0.0	33.0	Line: BUT -18.5	BUT	-18.5	Butler Bulldogs	
MRMK	-21.0	-4.0	-25.0	-18.4	-17.8	-14.0	-21.0	-4.0	-17.0	-6.0	0.0	-3.0	-8.0	-6.0	-2.0	0.0	-27.0	Line: SJU -20.5	SJU	20.5	Merrimack Warriors	
SJU	21.0	4.0	25.0	18.4	17.8	14.0	21.0	4.0	17.0	6.0	0.0	3.0	8.0	6.0	2.0	0.0	27.0	Line: SJU -20.5	SJU	-20.5	St. John's Red Storm	
VAL	-26.0	11.0	-15.0	3.5	2.8999999999999986	-14.599999999999994	-5.0	-6.0	1.0	0.0	-9.0	-3.0	9.0	4.0	0.0	0.0	-27.0	Line: TOL -13.0	TOL	13.0	Valparaiso Beacons	
TOL	26.0	-11.0	15.0	-3.5	-2.8999999999999986	14.599999999999994	5.0	6.0	-1.0	0.0	9.0	3.0	-9.0	-4.0	0.0	0.0	27.0	Line: TOL -13.0	TOL	-13.0	Toledo Rockets	
SDST	6.0	-6.0	-1.0	9.0	-8.8	-0.8999999999999915	4.0	-4.0	8.0	-5.0	-2.0	-1.0	4.0	-2.0	0.0	0.0	2.0	Line: AKR -3.5	AKR	3.5	South Dakota State Jackrabbits	10.0
AKR	-6.0	6.0	1.0	-9.0	8.8	0.8999999999999915	-4.0	4.0	-8.0	5.0	2.0	1.0	-4.0	2.0	0.0	0.0	-2.0	Line: AKR -3.5	AKR	-3.5	Akron Zips	11.0
GB	-3.0	-24.0	-27.0	-15.899999999999999	-20.499999999999996	16.700000000000003	-9.0	-1.0	-8.0	-15.0	-3.0	3.0	1.0	-3.0	-1.0	0.0	-23.0	Line: INST -17.5	INST	17.5	Green Bay Phoenix	
INST	3.0	24.0	27.0	15.899999999999999	20.499999999999996	-16.700000000000003	9.0	1.0	8.0	15.0	3.0	-3.0	-1.0	3.0	1.0	0.0	23.0	Line: INST -17.5	INST	-17.5	Indiana State Sycamores	
NJIT	-21.0	7.0	-14.0	-8.899999999999999	-9.100000000000001	-15.900000000000006	-1.0	-1.0	0.0	-5.0	-2.0	-2.0	4.0	-10.0	0.0	0.0	-24.0	Line: SPU -8.5	SPU	8.5	NJIT Highlanders	
SPU	21.0	-7.0	14.0	8.899999999999999	9.100000000000001	15.900000000000006	1.0	1.0	0.0	5.0	2.0	2.0	-4.0	10.0	0.0	0.0	24.0	Line: SPU -8.5	SPU	-8.5	Saint Peter's Peacocks	
COLG	3.0	-4.0	-1.0	-0.19999999999999574	7.100000000000001	11.0	10.0	0.0	10.0	2.0	-6.0	-2.0	5.0	-5.0	0.0	0.0	2.0	Line: COLG -3.0	COLG	-3.0	Colgate Raiders	
BUFF	-3.0	4.0	1.0	0.19999999999999574	-7.100000000000001	-11.0	-10.0	0.0	-10.0	-2.0	6.0	2.0	-5.0	5.0	0.0	0.0	-2.0	Line: COLG -3.0	COLG	3.0	Buffalo Bulls	
SIE	11.0	-4.0	7.0	4.399999999999999	21.200000000000003	13.600000000000001	4.0	-3.0	7.0	6.0	-5.0	-1.0	1.0	0.0	0.0	0.0	15.0	Line: SIE -1.0	SIE	-1.0	Siena Saints	
HC	-11.0	4.0	-7.0	-4.399999999999999	-21.200000000000003	-13.600000000000001	-4.0	3.0	-7.0	-6.0	5.0	1.0	-1.0	0.0	0.0	0.0	-15.0	Line: SIE -1.0	SIE	1.0	Holy Cross Crusaders	
ALB	-10.0	5.0	-5.0	-7.600000000000001	7.299999999999997	-7.900000000000006	2.0	2.0	0.0	1.0	-1.0	1.0	2.0	5.0	0.0	0.0	-13.0	Line: TOW -16.5	TOW	16.5	Albany Great Danes	
TOW	10.0	-5.0	5.0	7.600000000000001	-7.299999999999997	7.900000000000006	-2.0	-2.0	0.0	-1.0	1.0	-1.0	-2.0	-5.0	0.0	0.0	13.0	Line: TOW -16.5	TOW	-16.5	Towson Tigers	
HCU	9.0	-20.0	-11.0	-10.899999999999999	33.400000000000006	13.299999999999997	0.0	2.0	-2.0	1.0	-7.0	-7.0	8.0	3.0	0.0	0.0	4.0	Line: FIU -13.5	FIU	13.5	Houston Christian Huskies	
FIU	-9.0	20.0	11.0	10.899999999999999	-33.400000000000006	-13.299999999999997	0.0	-2.0	2.0	-1.0	7.0	7.0	-8.0	-3.0	0.0	0.0	-4.0	Line: FIU -13.5	FIU	-13.5	Florida International Panthers	
UMES	-7.0	-12.0	-19.0	-10.399999999999999	14.100000000000001	-5.599999999999994	-21.0	-9.0	-12.0	-2.0	1.0	-4.0	0.0	6.0	0.0	0.0	-16.0	Line: ODU -11.0	ODU	11.0	Maryland-Eastern Shore Hawks	
ODU	7.0	12.0	19.0	10.399999999999999	-14.100000000000001	5.599999999999994	21.0	9.0	12.0	2.0	-1.0	4.0	0.0	-6.0	0.0	0.0	16.0	Line: ODU -11.0	ODU	-11.0	Old Dominion Monarchs	
IDHO	-5.0	0.0	-5.0	-9.0	-17.5	12.100000000000001	-6.0	1.0	-7.0	-3.0	3.0	-5.0	0.0	8.0	0.0	0.0	-7.0	Line: DEN -9.5	DEN	9.5	Idaho Vandals	
DEN	5.0	0.0	5.0	9.0	17.5	-12.100000000000001	6.0	-1.0	7.0	3.0	-3.0	5.0	0.0	-8.0	0.0	0.0	7.0	Line: DEN -9.5	DEN	-9.5	Denver Pioneers	
WAG	-3.0	3.0	3.0	3.3000000000000043	3.0	-18.5	2.0	3.0	-1.0	0.0	3.0	-6.0	-5.0	0.0	0.0	0.0	-10.0	Line: TEM -16.0	TEM	16.0	Wagner Seahawks	7.0
TEM	3.0	-3.0	-3.0	-3.3000000000000043	-3.0	18.5	-2.0	-3.0	1.0	0.0	-3.0	6.0	5.0	0.0	0.0	0.0	10.0	Line: TEM -16.0	TEM	-16.0	Temple Owls	4.0
KENT	6.0	16.0	22.0	24.5	35.7	-35.2	-8.0	-10.0	2.0	11.0	0.0	1.0	-1.0	6.0	0.0	0.0	28.0	Line: NKU -1.0	NKU	1.0	Kent State Golden Flashes	
NKU	-6.0	-16.0	-22.0	-24.5	-35.7	35.2	8.0	10.0	-2.0	-11.0	0.0	-1.0	1.0	-6.0	0.0	0.0	-28.0	Line: NKU -1.0	NKU	-1.0	Northern Kentucky Norse	
MAN	-18.0	1.0	-17.0	8.600000000000001	2.4000000000000057	6.699999999999996	-3.0	-10.0	7.0	0.0	-10.0	1.0	13.0	11.0	0.0	0.0	-19.0	Line: VCU -22.5	VCU	22.5	Manhattan Jaspers	
VCU	18.0	-1.0	17.0	-8.600000000000001	-2.4000000000000057	-6.699999999999996	3.0	10.0	-7.0	0.0	10.0	-1.0	-13.0	-11.0	0.0	0.0	19.0	Line: VCU -22.5	VCU	-22.5	VCU Rams	
SFPA	0.0	-13.0	-13.0	-7.299999999999997	0.0	1.7000000000000028	-2.0	-2.0	0.0	-1.0	-4.0	-2.0	5.0	0.0	0.0	0.0	-13.0	Line: SBU -11.0	SBU	11.0	St. Francis (PA) Red Flash	
SBU	0.0	13.0	13.0	7.299999999999997	0.0	-1.7000000000000028	2.0	2.0	0.0	1.0	4.0	2.0	-5.0	0.0	0.0	0.0	13.0	Line: SBU -11.0	SBU	-11.0	St. Bonaventure Bonnies	
QUIN	3.0	2.0	5.0	5.199999999999996	18.2	-19.200000000000003	-3.0	-3.0	0.0	-4.0	1.0	0.0	-4.0	1.0	0.0	0.0	7.0	Line: URI -9.0	URI	9.0	Quinnipiac Bobcats	
URI	-3.0	-2.0	-5.0	-5.199999999999996	-18.2	19.200000000000003	3.0	3.0	0.0	4.0	-1.0	0.0	4.0	-1.0	0.0	0.0	-7.0	Line: URI -9.0	URI	-9.0	Rhode Island Rams	
PENN	-13.0	-15.0	-28.0	-8.099999999999994	-20.0	-8.0	-2.0	-5.0	3.0	-7.0	-6.0	2.0	13.0	0.0	0.0	0.0	-22.0	Line: IONA -6.0	IONA	6.0	Pennsylvania Quakers	
IONA	13.0	15.0	28.0	8.099999999999994	20.0	8.0	2.0	5.0	-3.0	7.0	6.0	-2.0	-13.0	0.0	0.0	0.0	22.0	Line: IONA -6.0	IONA	-6.0	Iona Gaels	
BRWN	-9.0	-6.0	-15.0	-9.599999999999994	-10.200000000000003	-21.099999999999994	-5.0	1.0	-6.0	-6.0	1.0	0.0	1.0	3.0	0.0	0.0	-17.0	Line: UVM -12.5	UVM	12.5	Brown Bears	
UVM	9.0	6.0	15.0	9.599999999999994	10.200000000000003	21.099999999999994	5.0	-1.0	6.0	6.0	-1.0	0.0	-1.0	-3.0	0.0	0.0	17.0	Line: UVM -12.5	UVM	-12.5	Vermont Catamounts	
AFA	-6.0	2.0	-4.0	0.7000000000000028	5.299999999999997	-13.200000000000003	-7.0	-5.0	-2.0	2.0	-3.0	4.0	1.0	3.0	0.0	0.0	-1.0	Line: BGSU -3.5	BGSU	3.5	Air Force Falcons	
BGSU	6.0	-2.0	4.0	-0.7000000000000028	-5.299999999999997	13.200000000000003	7.0	5.0	2.0	-2.0	3.0	-4.0	-1.0	-3.0	0.0	0.0	1.0	Line: BGSU -3.5	BGSU	-3.5	Bowling Green Falcons	
MRSH	-5.0	4.0	-1.0	-3.5	-6.799999999999997	8.299999999999997	-11.0	-2.0	-9.0	4.0	7.0	5.0	-9.0	3.0	0.0	0.0	6.0	Line: MRSH -4.5	MRSH	-4.5	Marshall Thundering Herd	
QUOC	5.0	-4.0	1.0	3.5	6.799999999999997	-8.299999999999997	11.0	2.0	9.0	-4.0	-7.0	-5.0	9.0	-3.0	0.0	0.0	-6.0	Line: MRSH -4.5	MRSH	4.5	Queens University Royals	
VMI	-7.0	-14.0	-21.0	-20.1	-3.8000000000000007	9.099999999999994	-5.0	6.0	-11.0	-7.0	-3.0	-4.0	2.0	8.0	-1.0	0.0	-22.0	Line: RICH -22.5	RICH	22.5	VMI Keydets	
RICH	7.0	14.0	21.0	20.1	3.8000000000000007	-9.099999999999994	5.0	-6.0	11.0	7.0	3.0	4.0	-2.0	-8.0	1.0	0.0	22.0	Line: RICH -22.5	RICH	-22.5	Richmond Spiders	
NAU	-14.0	-4.0	-18.0	-12.900000000000002	-6.599999999999998	-5.799999999999997	-9.0	-1.0	-8.0	-4.0	-1.0	-4.0	3.0	-3.0	0.0	0.0	-21.0	Line: MSU -21.0	MSU	21.0	Northern Arizona Lumberjacks	
MSU	14.0	4.0	18.0	12.900000000000002	6.599999999999998	5.799999999999997	9.0	1.0	8.0	4.0	1.0	4.0	-3.0	3.0	0.0	0.0	21.0	Line: MSU -21.0	MSU	-21.0	Michigan State Spartans	
TAR	-3.0	0.0	-3.0	0.6000000000000014	-10.7	11.100000000000001	-15.0	-11.0	-4.0	0.0	4.0	-7.0	-4.0	0.0	1.0	0.0	8.0	Line: ASU -14.5	ASU	14.5	Tarleton Texans	
ASU	3.0	0.0	3.0	-0.6000000000000014	10.7	-11.100000000000001	15.0	11.0	4.0	0.0	-4.0	7.0	4.0	0.0	-1.0	0.0	-8.0	Line: ASU -14.5	ASU	-14.5	Arizona State Sun Devils	
COLU	-10.0	-30.0	-40.0	-19.700000000000003	-35.2	18.799999999999997	-8.0	-7.0	-1.0	-17.0	-9.0	-1.0	14.0	-1.0	0.0	0.0	-43.0	Line: RUTG -18.5	RUTG	18.5	Columbia Lions	
RUTG	10.0	30.0	40.0	19.700000000000003	35.2	-18.799999999999997	8.0	7.0	1.0	17.0	9.0	1.0	-14.0	1.0	0.0	0.0	43.0	Line: RUTG -18.5	RUTG	-18.5	Rutgers Scarlet Knights	
WIN	-12.0	-13.0	-25.0	-10.100000000000001	-3.3999999999999986	23.700000000000003	-6.0	-3.0	-3.0	-12.0	-1.0	-2.0	6.0	-3.0	0.0	0.0	-25.0	Line: PSU -13.5	PSU	13.5	Winthrop Eagles	
PSU	12.0	13.0	25.0	10.100000000000001	3.3999999999999986	-23.700000000000003	6.0	3.0	3.0	12.0	1.0	2.0	-6.0	3.0	0.0	0.0	25.0	Line: PSU -13.5	PSU	-13.5	Penn State Nittany Lions	
RMU	-14.0	-24.0	-38.0	-24.000000000000004	-30.900000000000002	-9.0	-21.0	-1.0	-20.0	-12.0	-1.0	-4.0	-3.0	2.0	0.0	0.0	-38.0	Line: OSU -20.5	OSU	20.5	Robert Morris Colonials	
OSU	14.0	24.0	38.0	24.000000000000004	30.900000000000002	9.0	21.0	1.0	20.0	12.0	1.0	4.0	3.0	-2.0	0.0	0.0	38.0	Line: OSU -20.5	OSU	-20.5	Ohio State Buckeyes	
NIA	-7.0	-15.0	-22.0	-9.0	-45.0	-23.200000000000003	-4.0	2.0	-6.0	1.0	-6.0	-5.0	2.0	-2.0	0.0	0.0	-21.0	Line: MD -17.0	MD	17.0	Niagara Purple Eagles	
MD	7.0	15.0	22.0	9.0	45.0	23.200000000000003	4.0	-2.0	6.0	-1.0	6.0	5.0	-2.0	2.0	0.0	0.0	21.0	Line: MD -17.0	MD	-17.0	Maryland Terrapins	
BCU	-19.0	-12.0	-31.0	-15.900000000000006	-1.9999999999999964	28.599999999999994	-11.0	-1.0	-10.0	-14.0	-4.0	-3.0	5.0	4.0	0.0	0.0	-35.0	Line: IOWA -28.5	IOWA	28.5	Bethune-Cookman Wildcats	
IOWA	19.0	12.0	31.0	15.900000000000006	1.9999999999999964	-28.599999999999994	11.0	1.0	10.0	14.0	4.0	3.0	-5.0	-4.0	0.0	0.0	35.0	Line: IOWA -28.5	IOWA	-28.5	Iowa Hawkeyes	
MSM	-12.0	-6.0	-18.0	-16.4	17.6	-19.200000000000003	-17.0	-2.0	-15.0	-6.0	-5.0	-2.0	-1.0	1.0	1.0	0.0	-17.0	Line: WVU -17.0	WVU	17.0	Mount St. Mary's Mountaineers	
WVU	12.0	6.0	18.0	16.4	-17.6	19.200000000000003	17.0	2.0	15.0	6.0	5.0	2.0	1.0	-1.0	-1.0	0.0	17.0	Line: WVU -17.0	WVU	-17.0	West Virginia Mountaineers	
UTM	-13.0	-9.0	-22.0	-4.300000000000004	-11.0	-11.400000000000006	-10.0	-6.0	-4.0	-14.0	2.0	-8.0	2.0	6.0	-2.0	0.0	-33.0	Line: PITT -8.5	PITT	8.5	UT Martin Skyhawks	
PITT	13.0	9.0	22.0	4.300000000000004	11.0	11.400000000000006	10.0	6.0	4.0	14.0	-2.0	8.0	-2.0	-6.0	2.0	0.0	33.0	Line: PITT -8.5	PITT	-8.5	Pittsburgh Panthers	
STET	7.0	2.0	9.0	1.7000000000000028	-2.8999999999999986	16.9	3.0	0.0	3.0	6.0	2.0	0.0	-1.0	5.0	0.0	0.0	15.0	Line: FSU -18.0	FSU	18.0	Stetson Hatters	
FSU	-7.0	-2.0	-9.0	-1.7000000000000028	2.8999999999999986	-16.9	-3.0	0.0	-3.0	-6.0	-2.0	0.0	1.0	-5.0	0.0	0.0	-15.0	Line: FSU -18.0	FSU	-18.0	Florida State Seminoles	
CIT	-14.0	3.0	-11.0	-3.3000000000000043	12.2	11.099999999999994	-12.0	-8.0	-4.0	-8.0	-7.0	2.0	5.0	3.0	0.0	0.0	-14.0	Line: CLEM -18.0	CLEM	18.0	The Citadel Bulldogs	
CLEM	14.0	-3.0	11.0	3.3000000000000043	-12.2	-11.099999999999994	12.0	8.0	4.0	8.0	7.0	-2.0	-5.0	-3.0	0.0	0.0	14.0	Line: CLEM -18.0	CLEM	-18.0	Clemson Tigers	
YSU	23.0	-12.0	11.0	16.1	16.700000000000003	-22.400000000000006	22.0	5.0	17.0	1.0	-2.0	1.0	10.0	4.0	0.0	0.0	25.0	Line: YSU -4.0	YSU	-4.0	Youngstown State Penguins	
CAN	-23.0	12.0	-11.0	-16.1	-16.700000000000003	22.400000000000006	-22.0	-5.0	-17.0	-1.0	2.0	-1.0	-10.0	-4.0	0.0	0.0	-25.0	Line: YSU -4.0	YSU	4.0	Canisius Golden Griffins	
TXST	-7.0	-15.0	-22.0	-6.700000000000003	-20.0	-20.5	-14.0	-6.0	-8.0	-8.0	-2.0	-4.0	-1.0	-4.0	0.0	0.0	-23.0	Line: WSU -12.0	WSU	12.0	Texas State Bobcats	
WSU	7.0	15.0	22.0	6.700000000000003	20.0	20.5	14.0	6.0	8.0	8.0	2.0	4.0	1.0	4.0	0.0	0.0	23.0	Line: WSU -12.0	WSU	-12.0	Washington State Cougars	
NE	-5.0	-4.0	-9.0	-2.0	-4.399999999999999	12.900000000000006	3.0	-2.0	5.0	-4.0	0.0	1.0	7.0	0.0	-1.0	0.0	-10.0	Line: BU -2.0	BU	2.0	Northeastern Huskies	
BU	5.0	4.0	9.0	2.0	4.399999999999999	-12.900000000000006	-3.0	2.0	-5.0	4.0	0.0	-1.0	-7.0	0.0	1.0	0.0	10.0	Line: BU -2.0	BU	-2.0	Boston University Terriers	
HOF	-4.0	10.0	6.0	5.299999999999997	16.200000000000003	-3.299999999999997	-4.0	-3.0	-1.0	-1.0	2.0	-1.0	-2.0	8.0	0.0	0.0	-1.0	Line: PRIN -2.0	PRIN	2.0	Hofstra Pride	
PRIN	4.0	-10.0	-6.0	-5.299999999999997	-16.200000000000003	3.299999999999997	4.0	3.0	1.0	1.0	-2.0	1.0	2.0	-8.0	0.0	0.0	1.0	Line: PRIN -2.0	PRIN	-2.0	Princeton Tigers	
UTC	-11.0	4.0	-7.0	4.0	3.6000000000000014	-9.399999999999991	2.0	-1.0	3.0	7.0	-3.0	0.0	6.0	5.0	0.0	0.0	-10.0	Line: COFC -4.5	COFC	4.5	Chattanooga Mocs	
COFC	11.0	-4.0	7.0	-4.0	-3.6000000000000014	9.399999999999991	-2.0	1.0	-3.0	-7.0	3.0	0.0	-6.0	-5.0	0.0	0.0	10.0	Line: COFC -4.5	COFC	-4.5	Charleston Cougars	
AMCC	5.0	-24.0	-19.0	-10.299999999999997	6.0	46.2	-9.0	-4.0	-5.0	-7.0	-5.0	-4.0	5.0	6.0	0.0	0.0	-7.0	Line: MSST -15.0	MSST	15.0	Texas A&M-Corpus Christi Islanders	
MSST	-5.0	24.0	19.0	10.299999999999997	-6.0	-46.2	9.0	4.0	5.0	7.0	5.0	4.0	-5.0	-6.0	0.0	0.0	7.0	Line: MSST -15.0	MSST	-15.0	Mississippi State Bulldogs	
OHIO	-7.0	6.0	-1.0	-5.800000000000004	17.0	35.10000000000001	4.0	3.0	1.0	-9.0	-3.0	-6.0	1.0	3.0	0.0	0.0	-3.0	Line: BEL -6.0	BEL	6.0	Ohio Bobcats	
BEL	7.0	-6.0	1.0	5.800000000000004	-17.0	-35.10000000000001	-4.0	-3.0	-1.0	9.0	3.0	6.0	-1.0	-3.0	0.0	0.0	3.0	Line: BEL -6.0	BEL	-6.0	Belmont Bruins	
NAVY	2.0	13.0	15.0	8.0	19.0	-3.299999999999997	9.0	3.0	6.0	6.0	-1.0	-3.0	0.0	-1.0	0.0	0.0	12.0	Line: NAVY -2.0	NAVY	-2.0	Navy Midshipmen	
W&M	-2.0	-13.0	-15.0	-8.0	-19.0	3.299999999999997	-9.0	-3.0	-6.0	-6.0	1.0	3.0	0.0	1.0	0.0	0.0	-12.0	Line: NAVY -2.0	NAVY	2.0	William & Mary Tribe	
