Teams	1	2	T	Field Goal %	Three Point %	Free Throw %	Rebounds	Offensive Rebounds	Defensive Rebounds	Assists	Steals	Blocks	Total Turnovers	Fouls	Technical Fouls	Flagrant Fouls	Largest Lead	Line	Favored Team	Spread	Teams Alt	OT
SF	15.0	-2.0	13.0	22.0	7.799999999999997	6.000000000000007	24.0	-1.0	25.0	9.0	-3.0	1.0	13.0	9.0	0.0	0.0	17.0	Line: SF -15.0	SF	-15.0	San Francisco Dons	
ORU	-18.0	10.0	-8.0	-0.5999999999999943	8.0	-0.8000000000000114	-5.0	-3.0	-2.0	2.0	-6.0	3.0	7.0	7.0	0.0	0.0	-20.0	Line: SMC -9.5	SMC	9.5	Oral Roberts Golden Eagles	
SMC	18.0	-10.0	8.0	0.5999999999999943	-8.0	0.8000000000000114	5.0	3.0	2.0	-2.0	6.0	-3.0	-7.0	-7.0	0.0	0.0	20.0	Line: SMC -9.5	SMC	-9.5	Saint Mary's Gaels	
EWU	-6.0	-6.0	-12.0	4.900000000000006	-8.3	-14.200000000000003	-10.0	-9.0	-1.0	2.0	-3.0	-1.0	6.0	4.0	1.0	0.0	-4.0	Line: SCU -6.5	SCU	6.5	Eastern Washington Eagles	
SCU	6.0	6.0	12.0	-4.900000000000006	8.3	14.200000000000003	10.0	9.0	1.0	-2.0	3.0	1.0	-6.0	-4.0	-1.0	0.0	4.0	Line: SCU -6.5	SCU	-6.5	Santa Clara Broncos	
LBSU	7.0	8.0	15.0	18.5	17.1	-2.9000000000000057	7.0	-2.0	9.0	4.0	4.0	1.0	-2.0	2.0	0.0	0.0	14.0	Line: CBU -4.0	CBU	4.0	Long Beach State Beach	
CBU	-7.0	-8.0	-15.0	-18.5	-17.1	2.9000000000000057	-7.0	2.0	-9.0	-4.0	-4.0	-1.0	2.0	-2.0	0.0	0.0	-14.0	Line: CBU -4.0	CBU	-4.0	California Baptist Lancers	
SEA	13.0	1.0	14.0	-1.0	16.200000000000003	-15.100000000000001	7.0	8.0	-1.0	7.0	1.0	2.0	-2.0	2.0	1.0	0.0	16.0	Line: SEA -3.0	SEA	-3.0	Seattle U Redhawks	
UCSD	-13.0	-1.0	-14.0	1.0	-16.200000000000003	15.100000000000001	-7.0	-8.0	1.0	-7.0	-1.0	-2.0	2.0	-2.0	-1.0	0.0	-16.0	Line: SEA -3.0	SEA	3.0	UC San Diego Tritons	
UTU	-5.0	-8.0	-13.0	-12.100000000000001	6.399999999999999	-0.9000000000000057	-2.0	3.0	-5.0	-9.0	-3.0	-9.0	4.0	2.0	0.0	0.0	-14.0	Line: NEV -12.0	NEV	12.0	Utah Tech Trailblazers	
