"","teams","opponent","h1","h2","t","fieldGoal","threePoint","freeThrow","rebounds","offensiveRebounds","defensiveRebounds","assists","steals","blocks","totalTurnovers","fouls","technicalFouls","flagrantFouls","largestLead","line","favoredTeam","spread","teamsAlt","ot","covered","coverHist","favored","gameIndex","coverDiff","coverDiffHist","avgH1Hist","avgH2Hist","avgTHist","avgFieldGoalHist","avgThreePointHist","avgFreeThrowHist","avgReboundHist","avgOffensiveReboundsHist","avgDefensiveReboundsHist","avgAssistsHist","avgStealsHist","avgBlocksHist","avgTotalTurnoversHist","avgFoulsHist","avgSpreadHist"
"113","MSM","WVU",-12,-6,-18,-16.4,17.6,-19.2,-17,-2,-15,-6,-5,-2,-1,1,1,0,-17,"Line: WVU -17.0","WVU",17,"Mount St. Mary's Mountaineers",NA,0,NA,0,57,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","WVU","MSM",12,6,18,16.4,-17.6,19.2,17,2,15,6,5,2,1,-1,-1,0,17,"Line: WVU -17.0","WVU",-17,"West Virginia Mountaineers",NA,1,NA,1,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","UTM","PITT",-13,-9,-22,-4.3,-11,-11.4,-10,-6,-4,-14,2,-8,2,6,-2,0,-33,"Line: PITT -8.5","PITT",8.5,"UT Martin Skyhawks",NA,0,NA,0,58,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","PITT","UTM",13,9,22,4.3,11,11.4,10,6,4,14,-2,8,-2,-6,2,0,33,"Line: PITT -8.5","PITT",-8.5,"Pittsburgh Panthers",NA,1,NA,1,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","STET","FSU",7,2,9,1.7,-2.9,16.9,3,0,3,6,2,0,-1,5,0,0,15,"Line: FSU -18.0","FSU",18,"Stetson Hatters",NA,1,NA,0,59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","FSU","STET",-7,-2,-9,-1.7,2.9,-16.9,-3,0,-3,-6,-2,0,1,-5,0,0,-15,"Line: FSU -18.0","FSU",-18,"Florida State Seminoles",NA,0,NA,1,59,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","CIT","CLEM",-14,3,-11,-3.3,12.2,11.1,-12,-8,-4,-8,-7,2,5,3,0,0,-14,"Line: CLEM -18.0","CLEM",18,"The Citadel Bulldogs",NA,1,NA,0,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","CLEM","CIT",14,-3,11,3.3,-12.2,-11.1,12,8,4,8,7,-2,-5,-3,0,0,14,"Line: CLEM -18.0","CLEM",-18,"Clemson Tigers",NA,0,NA,1,60,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","YSU","CAN",23,-12,11,16.1,16.7,-22.4,22,5,17,1,-2,1,10,4,0,0,25,"Line: YSU -4.0","YSU",-4,"Youngstown State Penguins",NA,1,NA,1,61,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","CAN","YSU",-23,12,-11,-16.1,-16.7,22.4,-22,-5,-17,-1,2,-1,-10,-4,0,0,-25,"Line: YSU -4.0","YSU",4,"Canisius Golden Griffins",NA,0,NA,0,61,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","TXST","WSU",-7,-15,-22,-6.7,-20,-20.5,-14,-6,-8,-8,-2,-4,-1,-4,0,0,-23,"Line: WSU -12.0","WSU",12,"Texas State Bobcats",NA,0,NA,0,62,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","WSU","TXST",7,15,22,6.7,20,20.5,14,6,8,8,2,4,1,4,0,0,23,"Line: WSU -12.0","WSU",-12,"Washington State Cougars",NA,1,NA,1,62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","NE","BU",-5,-4,-9,-2,-4.4,12.9,3,-2,5,-4,0,1,7,0,-1,0,-10,"Line: BU -2.0","BU",2,"Northeastern Huskies",NA,0,NA,0,63,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","BU","NE",5,4,9,2,4.4,-12.9,-3,2,-5,4,0,-1,-7,0,1,0,10,"Line: BU -2.0","BU",-2,"Boston University Terriers",NA,1,NA,1,63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","HOF","PRIN",-4,10,6,5.3,16.2,-3.3,-4,-3,-1,-1,2,-1,-2,8,0,0,-1,"Line: PRIN -2.0","PRIN",2,"Hofstra Pride",NA,1,NA,0,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","PRIN","HOF",4,-10,-6,-5.3,-16.2,3.3,4,3,1,1,-2,1,2,-8,0,0,1,"Line: PRIN -2.0","PRIN",-2,"Princeton Tigers",NA,0,NA,1,64,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","UTC","COFC",-11,4,-7,4,3.6,-9.39999999999999,2,-1,3,7,-3,0,6,5,0,0,-10,"Line: COFC -4.5","COFC",4.5,"Chattanooga Mocs",NA,0,NA,0,65,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","COFC","UTC",11,-4,7,-4,-3.6,9.39999999999999,-2,1,-3,-7,3,0,-6,-5,0,0,10,"Line: COFC -4.5","COFC",-4.5,"Charleston Cougars",NA,1,NA,1,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","AMCC","MSST",5,-24,-19,-10.3,6,46.2,-9,-4,-5,-7,-5,-4,5,6,0,0,-7,"Line: MSST -15.0","MSST",15,"Texas A&M-Corpus Christi Islanders",NA,0,NA,0,66,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","MSST","AMCC",-5,24,19,10.3,-6,-46.2,9,4,5,7,5,4,-5,-6,0,0,7,"Line: MSST -15.0","MSST",-15,"Mississippi State Bulldogs",NA,1,NA,1,66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","OHIO","BEL",-7,6,-1,-5.8,17,35.1,4,3,1,-9,-3,-6,1,3,0,0,-3,"Line: BEL -6.0","BEL",6,"Ohio Bobcats",NA,1,NA,0,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","BEL","OHIO",7,-6,1,5.8,-17,-35.1,-4,-3,-1,9,3,6,-1,-3,0,0,3,"Line: BEL -6.0","BEL",-6,"Belmont Bruins",NA,0,NA,1,67,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","NAVY","W&M",2,13,15,8,19,-3.3,9,3,6,6,-1,-3,0,-1,0,0,12,"Line: NAVY -2.0","NAVY",-2,"Navy Midshipmen",NA,1,NA,1,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","W&M","NAVY",-2,-13,-15,-8,-19,3.3,-9,-3,-6,-6,1,3,0,1,0,0,-12,"Line: NAVY -2.0","NAVY",2,"William & Mary Tribe",NA,0,NA,0,68,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","CCSU","MASS",-8,-19,-27,-12.6,-16.4,-8.3,-19,-7,-12,-9,0,-1,0,2,0,0,-30,"Line: MASS -17.0","MASS",17,"Central Connecticut Blue Devils",NA,0,NA,0,69,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","MASS","CCSU",8,19,27,12.6,16.4,8.3,19,7,12,9,0,1,0,-2,0,0,30,"Line: MASS -17.0","MASS",-17,"UMass Minutemen",NA,1,NA,1,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","DART","FOR",-5,-9,-14,-15,5.8,5.09999999999999,-7,0,-7,6,-4,-5,2,-3,0,0,-12,"Line: FOR -6.0","FOR",6,"Dartmouth Big Green",NA,0,NA,0,70,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","FOR","DART",5,9,14,15,-5.8,-5.09999999999999,7,0,7,-6,4,5,-2,3,0,0,12,"Line: FOR -6.0","FOR",-6,"Fordham Rams",NA,1,NA,1,70,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","ALST","UAB",-19,-22,-41,-21.5,-5.4,5.7,-10,4,-14,-1,-2,1,4,13,1,0,-43,"Line: UAB -26.0","UAB",26,"Alabama State Hornets",NA,0,NA,0,71,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","UAB","ALST",19,22,41,21.5,5.4,-5.7,10,-4,14,1,2,-1,-4,-13,-1,0,43,"Line: UAB -26.0","UAB",-26,"UAB Blazers",NA,1,NA,1,71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","STO","CONN",-19,-12,-31,-10.4,8.6,6.3,-20,-12,-8,-7,-1,-6,9,1,0,0,-30,"Line: CONN -30.5","CONN",30.5,"Stonehill Skyhawks",NA,0,NA,0,72,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","CONN","STO",19,12,31,10.4,-8.6,-6.3,20,12,8,7,1,6,-9,-1,0,0,30,"Line: CONN -30.5","CONN",-30.5,"UConn Huskies",NA,1,NA,1,72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","LAF","MIA",2,-15,-13,0.299999999999997,0,-22.5,-12,-9,-3,1,-5,1,5,4,0,0,-9,"Line: MIA -26.5","MIA",26.5,"Lafayette Leopards",NA,1,NA,0,73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","MIA","LAF",-2,15,13,-0.299999999999997,0,22.5,12,9,3,-1,5,-1,-5,-4,0,0,9,"Line: MIA -26.5","MIA",-26.5,"Miami Hurricanes",NA,0,NA,1,73,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","MORG","XAV",-24,1,-23,-14.5,-6.3,-2.3,-18,-1,-17,-13,2,-7,-2,8,0,0,-30,"Line: XAV -23.5","XAV",23.5,"Morgan State Bears",NA,1,NA,0,74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","XAV","MORG",24,-1,23,14.5,6.3,2.3,18,1,17,13,-2,7,2,-8,0,0,30,"Line: XAV -23.5","XAV",-23.5,"Xavier Musketeers",NA,0,NA,1,74,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","L-MD","DEP",-13,7,-6,-3.1,12.1,-30.7,-1,2,-3,-1,-4,-3,1,3,0,0,-14,"Line: DEP -13.5","DEP",13.5,"Loyola Maryland Greyhounds",NA,1,NA,0,75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","DEP","L-MD",13,-7,6,3.1,-12.1,30.7,1,-2,3,1,4,3,-1,-3,0,0,14,"Line: DEP -13.5","DEP",-13.5,"DePaul Blue Demons",NA,0,NA,1,75,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","JKST","ACU",-20,11,-9,-0.399999999999999,-18.1,16.4,7,2,5,-3,-3,-4,6,4,0,0,-18,"Line: ACU -16.5","ACU",16.5,"Jackson State Tigers",NA,1,NA,0,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","ACU","JKST",20,-11,9,0.399999999999999,18.1,-16.4,-7,-2,-5,3,3,4,-6,-4,0,0,18,"Line: ACU -16.5","ACU",-16.5,"Abilene Christian Wildcats",NA,0,NA,1,76,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","WIU","ILST",-7,10,3,5.6,4.5,-14,-16,-6,-10,12,2,0,-9,1,-1,0,-7,"Line: ILST -9.5","ILST",9.5,"Western Illinois Leathernecks",NA,1,NA,0,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","ILST","WIU",7,-10,-3,-5.6,-4.5,14,16,6,10,-12,-2,0,9,-1,1,0,7,"Line: ILST -9.5","ILST",-9.5,"Illinois State Redbirds",NA,0,NA,1,77,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","LR","SIU",-27,-4,-31,-17.6,-26.2,-30.6,-23,-3,-20,-12,7,0,-11,-1,0,0,-31,"Line: SIU -14.5","SIU",14.5,"Little Rock Trojans",NA,0,NA,0,78,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","SIU","LR",27,4,31,17.6,26.2,30.6,23,3,20,12,-7,0,11,1,0,0,31,"Line: SIU -14.5","SIU",-14.5,"Southern Illinois Salukis",NA,1,NA,1,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","SEMO","USF",0,3,3,-10.5,17.4,16.2,1,3,-2,2,0,-1,-1,2,0,0,-2,"Line: USF -11.0","USF",11,"Southeast Missouri State Redhawks",NA,1,NA,0,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","USF","SEMO",0,-3,-3,10.5,-17.4,-16.2,-1,-3,2,-2,0,1,1,-2,0,0,2,"Line: USF -11.0","USF",-11,"South Florida Bulls",NA,0,NA,1,79,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","UNCA","UCF",3,-3,3,5.8,7.6,-0.200000000000003,3,-5,8,1,-1,1,5,-3,0,0,-1,"Line: UCF -7.5","UCF",7.5,"UNC Asheville Bulldogs",22,1,NA,0,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","UCF","UNCA",-3,3,-3,-5.8,-7.6,0.200000000000003,-3,5,-8,-1,1,-1,-5,3,0,0,1,"Line: UCF -7.5","UCF",-7.5,"UCF Knights",19,0,NA,1,80,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","MUR","SLU",-15,-8,-23,-10.2,-0.499999999999996,-0.599999999999994,-14,-7,-7,-16,-2,1,1,1,1,0,-16,"Line: SLU -13.0","SLU",13,"Murray State Racers",NA,0,NA,0,81,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","SLU","MUR",15,8,23,10.2,0.499999999999996,0.599999999999994,14,7,7,16,2,-1,-1,-1,-1,0,16,"Line: SLU -13.0","SLU",-13,"Saint Louis Billikens",NA,1,NA,1,81,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","FDU","LUC",-2,2,-6,-6.3,2.8,-4,-3,3,-6,-10,2,-3,-3,2,0,0,-8,"Line: LUC -26.0","LUC",26,"Fairleigh Dickinson Knights",5,1,NA,0,82,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","LUC","FDU",2,-2,6,6.3,-2.8,4,3,-3,6,10,-2,3,3,-2,0,0,8,"Line: LUC -26.0","LUC",-26,"Loyola Chicago Ramblers",11,0,NA,1,82,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","CARK","WICH",-20,-4,-24,-13.7,-15.3,9.8,-5,5,-10,-2,-3,-4,4,4,0,0,-28,"Line: WICH -17.5","WICH",17.5,"Central Arkansas Bears",NA,0,NA,0,83,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","WICH","CARK",20,4,24,13.7,15.3,-9.8,5,-5,10,2,3,4,-4,-4,0,0,28,"Line: WICH -17.5","WICH",-17.5,"Wichita State Shockers",NA,1,NA,1,83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","CHST","NU",-16,-15,-31,-17.5,-21.1,-12.2,-12,1,-13,-11,-2,1,-2,10,1,0,-37,"Line: NU -23.5","NU",23.5,"Chicago State Cougars",NA,0,NA,0,84,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","NU","CHST",16,15,31,17.5,21.1,12.2,12,-1,13,11,2,-1,2,-10,-1,0,37,"Line: NU -23.5","NU",-23.5,"Northwestern Wildcats",NA,1,NA,1,84,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","ME","NEB",-12,-1,-13,1.09999999999999,9.6,-55,-17,-11,-6,4,5,5,2,8,0,0,-15,"Line: NEB -21.0","NEB",21,"Maine Black Bears",NA,1,NA,0,85,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","NEB","ME",12,1,13,-1.09999999999999,-9.6,55,17,11,6,-4,-5,-5,-2,-8,0,0,15,"Line: NEB -21.0","NEB",-21,"Nebraska Cornhuskers",NA,0,NA,1,85,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","SHSU","OU",-7,8,1,-4.40000000000001,-0.199999999999999,-25.6,-3,6,-9,3,5,-4,-9,3,0,0,-12,"Line: OU -16.0","OU",16,"Sam Houston Bearkats",NA,1,NA,0,86,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","OU","SHSU",7,-8,-1,4.40000000000001,0.199999999999999,25.6,3,-6,9,-3,-5,4,9,-3,0,0,12,"Line: OU -16.0","OU",-16,"Oklahoma Sooners",NA,0,NA,1,86,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","IUPU","ISU",-23,-26,-49,-18.3,-16.2,-22,-16,-8,-8,-16,-8,-2,15,6,0,0,-46,"Line: ISU -26.5","ISU",26.5,"IUPUI Jaguars",NA,0,NA,0,87,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","ISU","IUPU",23,26,49,18.3,16.2,22,16,8,8,16,8,2,-15,-6,0,0,46,"Line: ISU -26.5","ISU",-26.5,"Iowa State Cyclones",NA,1,NA,1,87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","MEM","VAN",12,-3,9,9.8,-13.7,29.5,7,-1,8,0,0,-1,0,0,0,0,19,"Line: MEM -2.5","MEM",-2.5,"Memphis Tigers",NA,1,NA,1,88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","VAN","MEM",-12,3,-9,-9.8,13.7,-29.5,-7,1,-8,0,0,1,0,0,0,0,-19,"Line: MEM -2.5","MEM",2.5,"Vanderbilt Commodores",NA,0,NA,0,88,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","ULM","TA&M",-14,-19,-33,-23.7,-36.2,10.3,-11,0,-11,-15,7,1,2,-7,0,0,-38,"Line: TA&M -20.5","TA&M",20.5,"UL Monroe Warhawks",NA,0,NA,0,89,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","TA&M","ULM",14,19,33,23.7,36.2,-10.3,11,0,11,15,-7,-1,-2,7,0,0,38,"Line: TA&M -20.5","TA&M",-20.5,"Texas A&M Aggies",NA,1,NA,1,89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","USI","MIZ",-16,10,-6,0.399999999999999,25,3.59999999999999,-5,-5,0,-5,-5,1,11,4,0,0,-20,"Line: MIZ -19.5","MIZ",19.5,"Southern Indiana Screaming Eagles",NA,1,NA,0,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","MIZ","USI",16,-10,6,-0.399999999999999,-25,-3.59999999999999,5,5,0,5,5,-1,-11,-4,0,0,20,"Line: MIZ -19.5","MIZ",-19.5,"Missouri Tigers",NA,0,NA,1,90,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","WCU","UGA",-15,2,-13,-14,3.3,8.5,-16,-4,-12,1,3,-4,-7,-1,0,0,-18,"Line: UGA -13.5","UGA",13.5,"Western Carolina Catamounts",NA,1,NA,0,91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","UGA","WCU",15,-2,13,14,-3.3,-8.5,16,4,12,-1,-3,4,7,1,0,0,18,"Line: UGA -13.5","UGA",-13.5,"Georgia Bulldogs",NA,0,NA,1,91,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","STBK","FLA",-16,-20,-36,-16.7,-18.6,-18.4,-16,-5,-11,-3,-2,-2,8,2,0,0,-38,"Line: FLA -26.5","FLA",26.5,"Stony Brook Seawolves",NA,0,NA,0,92,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","FLA","STBK",16,20,36,16.7,18.6,18.4,16,5,11,3,2,2,-8,-2,0,0,38,"Line: FLA -26.5","FLA",-26.5,"Florida Gators",NA,1,NA,1,92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","FAIR","WAKE",-7,-5,-12,-0.899999999999999,0.300000000000001,-21.5,-6,-1,-5,-3,-5,3,3,9,0,0,-8,"Line: WAKE -13.0","WAKE",13,"Fairfield Stags",NA,1,NA,0,93,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","WAKE","FAIR",7,5,12,0.899999999999999,-0.300000000000001,21.5,6,1,5,3,5,-3,-3,-9,0,0,8,"Line: WAKE -13.0","WAKE",-13,"Wake Forest Demon Deacons",NA,0,NA,1,93,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","LEH","SYR",-18,0,-18,-11.6,-11.9,-0.5,-13,-2,-11,3,-1,-5,-1,9,0,0,-22,"Line: SYR -17.0","SYR",17,"Lehigh Mountain Hawks",NA,0,NA,0,94,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","SYR","LEH",18,0,18,11.6,11.9,0.5,13,2,11,-3,1,5,1,-9,0,0,22,"Line: SYR -17.0","SYR",-17,"Syracuse Orange",NA,1,NA,1,94,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","APSU","NCST",-28,-21,-49,-30.7,-26.8,5,-13,-1,-12,-12,-4,-5,6,-6,0,0,-51,"Line: NCST -13.0","NCST",13,"Austin Peay Governors",NA,0,NA,0,95,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","NCST","APSU",28,21,49,30.7,26.8,-5,13,1,12,12,4,5,-6,6,0,0,51,"Line: NCST -13.0","NCST",-13,"NC State Wolfpack",NA,1,NA,1,95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","COR","BC",-2,0,-2,-1.2,12.6,0.700000000000003,-6,-5,-1,-1,-3,-1,5,1,0,0,-5,"Line: BC -9.0","BC",9,"Cornell Big Red",NA,1,NA,0,96,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","BC","COR",2,0,2,1.2,-12.6,-0.700000000000003,6,5,1,1,3,1,-5,-1,0,0,5,"Line: BC -9.0","BC",-9,"Boston College Eagles",NA,0,NA,1,96,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","EVAN","M-OH",4,0,4,3.40000000000001,4.3,-5,2,0,2,-2,-2,1,-1,1,-1,0,12,"Line: M-OH -5.5","M-OH",5.5,"Evansville Purple Aces",NA,1,NA,0,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","M-OH","EVAN",-4,0,-4,-3.40000000000001,-4.3,5,-2,0,-2,2,2,-1,1,-1,1,0,-12,"Line: M-OH -5.5","M-OH",-5.5,"Miami (OH) Redhawks",NA,0,NA,1,97,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","UND","UIW",0,8,8,5.9,10,0,3,-4,7,4,-6,4,1,-10,-1,0,6,"Line: UND -2.5","UND",-2.5,"North Dakota Fighting Hawks",NA,1,NA,1,98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","UIW","UND",0,-8,-8,-5.9,-10,0,-3,4,-7,-4,6,-4,-1,10,1,0,-6,"Line: UND -2.5","UND",2.5,"Incarnate Word Cardinals",NA,0,NA,0,98,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","TAMC","SMU",-4,-13,-17,-15.2,5,-13.3,-8,4,-12,-3,1,-6,-4,7,2,0,-20,"Line: SMU -17.0","SMU",17,"Texas A&M-Commerce Lions",NA,0,NA,0,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","SMU","TAMC",4,13,17,15.2,-5,13.3,8,-4,12,3,-1,6,4,-7,-2,0,20,"Line: SMU -17.0","SMU",-17,"SMU Mustangs",NA,0,NA,1,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","UMBC","TULN",-13,-9,-22,-16.1,-9.7,6.40000000000001,-9,-5,-4,-1,-1,0,2,0,0,0,-25,"Line: TULN -16.5","TULN",16.5,"UMBC Retrievers",NA,0,NA,0,100,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","TULN","UMBC",13,9,22,16.1,9.7,-6.40000000000001,9,5,4,1,1,0,-2,0,0,0,25,"Line: TULN -16.5","TULN",-16.5,"Tulane Green Wave",NA,1,NA,1,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","UCR","COLO",-18,2,-16,-6.6,-27.2,-21.5,1,3,-2,-8,-4,0,2,10,0,0,-20,"Line: COLO -11.0","COLO",11,"UC Riverside Highlanders",NA,0,NA,0,101,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
