"","teams","opponent","h1","h2","t","fieldGoal","threePoint","freeThrow","rebounds","offensiveRebounds","defensiveRebounds","assists","steals","blocks","totalTurnovers","fouls","technicalFouls","flagrantFouls","largestLead","line","favoredTeam","spread","teamsAlt","ot","covered","coverHist","favored","gameIndex","coverDiff","coverDiffHist","avgH1Hist","avgH2Hist","avgTHist","avgFieldGoalHist","avgThreePointHist","avgFreeThrowHist","avgReboundHist","avgOffensiveReboundsHist","avgDefensiveReboundsHist","avgAssistsHist","avgStealsHist","avgBlocksHist","avgTotalTurnoversHist","avgFoulsHist","avgSpreadHist"
"50","TTU","NWST",19,5,24,23.8,11.1,-18.2,12,-5,17,8,-9,3,6,-8,0,0,24,"Line: TTU -28.0","TTU",-28,"Texas Tech Red Raiders",NA,0,NA,1,25,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","PAC","STAN",-12,2,-10,-18.6,0.300000000000004,13.9,-5,3,-8,-7,2,-1,-4,9,0,0,-19,"Line: STAN -14.5","STAN",14.5,"Pacific Tigers",NA,1,NA,0,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","STAN","PAC",12,-2,10,18.6,-0.300000000000004,-13.9,5,-3,8,7,-2,1,4,-9,0,0,19,"Line: STAN -14.5","STAN",-14.5,"Stanford Cardinal",NA,0,NA,1,26,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","COPP","CHAR",-13,-10,-23,-9.3,-20.9,-2.10000000000001,-10,-5,-5,-8,-2,-3,1,3,0,0,-21,"Line: CHAR -10.5","CHAR",10.5,"Coppin State Eagles",NA,0,NA,0,27,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","CHAR","COPP",13,10,23,9.3,20.9,2.10000000000001,10,5,5,8,2,3,-1,-3,0,0,21,"Line: CHAR -10.5","CHAR",-10.5,"Charlotte 49ers",NA,1,NA,1,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","UNO","BUT",-25,-11,-36,-15.1,20.8,0.600000000000001,-5,-3,-2,-5,-6,-2,15,8,0,0,-33,"Line: BUT -18.5","BUT",18.5,"New Orleans Privateers",NA,0,NA,0,28,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","BUT","UNO",25,11,36,15.1,-20.8,-0.600000000000001,5,3,2,5,6,2,-15,-8,0,0,33,"Line: BUT -18.5","BUT",-18.5,"Butler Bulldogs",NA,1,NA,1,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","MRMK","SJU",-21,-4,-25,-18.4,-17.8,-14,-21,-4,-17,-6,0,-3,-8,-6,-2,0,-27,"Line: SJU -20.5","SJU",20.5,"Merrimack Warriors",NA,0,NA,0,29,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","SJU","MRMK",21,4,25,18.4,17.8,14,21,4,17,6,0,3,8,6,2,0,27,"Line: SJU -20.5","SJU",-20.5,"St. John's Red Storm",NA,1,NA,1,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","VAL","TOL",-26,11,-15,3.5,2.9,-14.6,-5,-6,1,0,-9,-3,9,4,0,0,-27,"Line: TOL -13.0","TOL",13,"Valparaiso Beacons",NA,0,NA,0,30,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","TOL","VAL",26,-11,15,-3.5,-2.9,14.6,5,6,-1,0,9,3,-9,-4,0,0,27,"Line: TOL -13.0","TOL",-13,"Toledo Rockets",NA,1,NA,1,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","SDST","AKR",6,-6,-1,9,-8.8,-0.899999999999991,4,-4,8,-5,-2,-1,4,-2,0,0,2,"Line: AKR -3.5","AKR",3.5,"South Dakota State Jackrabbits",10,1,NA,0,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","AKR","SDST",-6,6,1,-9,8.8,0.899999999999991,-4,4,-8,5,2,1,-4,2,0,0,-2,"Line: AKR -3.5","AKR",-3.5,"Akron Zips",11,0,NA,1,31,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","GB","INST",-3,-24,-27,-15.9,-20.5,16.7,-9,-1,-8,-15,-3,3,1,-3,-1,0,-23,"Line: INST -17.5","INST",17.5,"Green Bay Phoenix",NA,0,NA,0,32,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","INST","GB",3,24,27,15.9,20.5,-16.7,9,1,8,15,3,-3,-1,3,1,0,23,"Line: INST -17.5","INST",-17.5,"Indiana State Sycamores",NA,1,NA,1,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
